填料类型,填料类别,填料负载量(mg/cm²),比表面积(m²/g),粒径(nm),孔体积(cm³/g),基底材料,隔膜厚度(μm),孔隙率,电解液体系,温度(°C),倍率(C),循环次数,离子电导率(mS/cm),初始比容量(mAh/g),容量保持率(%),库伦效率(%),穿梭因子
COF-LZU1,MOF/COF,0.385,486.6,6.0,0.362,GF/A(玻璃纤维),266.5,0.72,砜类(DIPAS) + 1M LiTFSI,35,0.5,500,0.728,1089.6,86.6,93.1,0.2812
VN,氮化物,1.944,56.4,29.2,0.185,PET,11.9,0.552,DOL/DME + 1M LiTFSI,55,0.5,50,2.146,1004.2,99.0,94.87,0.02
SnS₂,金属硫化物,0.959,41.0,61.3,0.104,Celgard 3501(PP/PE/PP),38.6,0.466,DOL/DME + 1M LiTFSI,25,0.5,500,1.195,1129.0,99.0,95.99,0.1692
Co₃O₄,金属氧化物,1.737,69.9,29.1,0.24,PVDF-HFP,26.3,0.68,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.1,200,0.989,1000.6,99.0,99.32,0.02
介孔碳(CMK-3),碳基,2.812,997.3,16.2,1.397,纤维素膜,31.0,0.733,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,1.0,50,0.504,739.0,99.0,93.96,0.02
ZnO,金属氧化物,1.854,29.7,54.9,0.117,Celgard 2500(PE),21.6,0.553,砜类(DIPAS) + 1M LiTFSI,45,0.5,100,0.683,1072.9,99.0,95.55,0.02
CNT,碳基,2.477,238.6,32.7,0.926,PVDF,30.6,0.627,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,30,0.5,200,0.372,955.6,99.0,95.07,0.0207
ZnO,金属氧化物,0.79,43.0,43.2,0.092,尼龙膜,23.3,0.629,DOL/DME + 2M LiTFSI,45,0.5,300,1.355,1007.1,98.8,92.81,0.2134
石墨烯,碳基,0.567,395.3,9.8,1.119,Celgard 2400(PP),22.5,0.394,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,3.0,100,1.682,1374.8,99.0,95.88,0.1013
石墨烯,碳基,0.128,449.1,8.2,0.608,PI(聚酰亚胺),26.4,0.519,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,5.0,200,1.323,1030.0,98.3,96.02,0.1976
氮掺杂碳,碳基,0.165,410.5,18.4,0.744,Whatman GF/D,677.9,0.794,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,2.0,500,1.456,1078.1,85.5,97.65,0.2234
SnS₂,金属硫化物,1.667,46.1,23.8,0.161,PVDF-HFP,30.6,0.632,砜类(DIPAS) + 1M LiTFSI,50,1.0,200,0.777,1075.2,99.0,94.1,0.0747
MnO₂,金属氧化物,2.488,93.2,28.1,0.262,Celgard 2400(PP),24.3,0.415,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,35,0.5,100,1.064,761.8,99.0,99.9,0.02
Mo₂N,氮化物,2.988,58.9,30.3,0.162,尼龙膜,25.4,0.607,DOL/DME + 2M LiTFSI,50,3.0,800,1.298,526.2,99.0,96.72,0.02
PANI(聚苯胺),聚合物,1.083,34.3,109.8,0.147,纤维素膜,30.6,0.64,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.2,1000,0.944,949.9,86.7,98.68,0.0897
VS₂,金属硫化物,1.156,54.6,25.8,0.165,Whatman GF/D,670.1,0.855,砜类(DIPAS) + 1M LiTFSI,30,2.0,100,0.638,978.9,99.0,93.8,0.2158
SnS₂,金属硫化物,2.854,37.5,45.4,0.102,GF/A(玻璃纤维),263.9,0.792,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,0.2,200,0.548,629.1,99.0,95.5,0.02
VS₂,金属硫化物,2.852,54.9,36.3,0.177,Celgard 3501(PP/PE/PP),34.3,0.446,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.2,50,0.503,606.0,99.0,99.9,0.02
WO₃,金属氧化物,0.159,39.2,28.9,0.162,Celgard 2400(PP),26.1,0.418,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,0.5,1000,1.339,923.8,78.2,95.86,0.194
PANI(聚苯胺),聚合物,2.032,28.1,100.4,0.126,PVDF,26.3,0.678,DOL/DME + 1M LiTFSI,25,0.1,300,1.285,808.5,99.0,93.21,0.02
UiO-66,MOF/COF,2.714,1218.3,3.0,0.683,Celgard 2500(PE),31.4,0.507,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.5,800,1.447,811.0,99.0,99.9,0.02
TpPa-COF,MOF/COF,1.405,574.9,6.7,0.309,PVDF-HFP,34.0,0.669,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,2.0,500,1.157,1095.8,99.0,99.06,0.02
BN,氮化物,1.826,32.8,44.7,0.081,Celgard 3501(PP/PE/PP),28.5,0.453,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,2.0,1000,1.21,835.6,89.8,99.66,0.02
TiS₂,金属硫化物,0.867,37.8,36.8,0.11,PET,15.1,0.486,DOL/DME + 1M LiTFSI,60,1.0,500,1.667,1113.6,97.6,93.43,0.1999
SnS₂,金属硫化物,1.37,30.3,39.5,0.115,Whatman GF/D,662.9,0.818,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,55,0.1,200,1.938,1106.4,99.0,97.92,0.0843
La₂O₃,金属氧化物,1.695,30.3,76.8,0.077,PAN,16.3,0.711,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,5.0,300,1.972,816.1,99.0,98.78,0.02
介孔碳(CMK-3),碳基,2.535,963.0,14.2,1.348,PET,20.3,0.541,DOL/DME + 2M LiTFSI,25,5.0,500,1.17,877.6,99.0,94.88,0.02
SnS₂,金属硫化物,1.851,41.1,25.4,0.129,Whatman GF/D,663.9,0.817,DOL/DME + 1M LiTFSI,25,1.0,1000,1.409,1006.4,99.0,96.16,0.02
石墨烯,碳基,2.293,387.4,11.9,0.624,PVDF-HFP,22.8,0.658,砜类(DIPAS) + 1M LiTFSI,25,0.2,50,0.596,1017.9,99.0,95.29,0.02
UiO-66,MOF/COF,0.535,1248.9,3.6,0.368,Whatman GF/D,671.8,0.836,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,50,1.0,500,2.444,1329.7,96.9,97.7,0.1232
CeO₂,金属氧化物,1.098,70.2,9.6,0.131,Celgard 2400(PP),32.2,0.471,砜类(DIPAS) + 1M LiTFSI,60,0.5,50,0.794,1186.6,99.0,92.66,0.1515
多孔碳球,碳基,0.472,789.5,16.4,1.371,PVDF-HFP,27.8,0.654,DOL/DME + 2M LiTFSI,30,1.0,200,1.05,1440.7,97.7,92.48,0.21
WS₂,金属硫化物,2.097,32.2,31.7,0.118,Celgard 2500(PE),22.4,0.559,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,50,1.0,1000,1.659,910.1,99.0,99.89,0.02
TiN,氮化物,2.76,74.0,25.0,0.181,Whatman GF/D,669.1,0.834,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,0.5,300,1.685,615.1,99.0,98.87,0.02
CoS₂,金属硫化物,1.039,38.9,20.1,0.169,纤维素膜,35.4,0.616,TEGDME + 1M LiTFSI,25,5.0,50,0.631,913.0,99.0,94.34,0.1593
La₂O₃,金属氧化物,0.15,28.7,47.3,0.086,PVDF,26.4,0.604,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,800,0.562,891.9,76.0,98.74,0.2321
石墨烯,碳基,0.669,414.8,8.2,1.178,PI(聚酰亚胺),14.5,0.619,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.2,300,0.96,1382.3,99.0,97.04,0.0943
ZIF-8,MOF/COF,2.697,1669.8,5.1,0.625,尼龙膜,30.1,0.539,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,45,5.0,500,0.794,735.4,99.0,96.76,0.02
碳纳米纤维(CNF),碳基,0.767,192.8,130.7,0.52,Celgard 2500(PE),30.8,0.496,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,45,0.2,500,1.607,1437.5,94.7,97.42,0.1399
TiS₂,金属硫化物,1.058,31.8,23.0,0.092,Celgard 2400(PP),28.0,0.346,TEGDME + 1M LiTFSI,55,0.2,200,1.087,1229.9,99.0,92.72,0.139
TiN,氮化物,2.41,62.3,21.7,0.209,PET,9.4,0.433,DOL/DME + 2M LiTFSI,40,0.5,200,1.05,826.9,99.0,96.31,0.02
MIL-101(Cr),MOF/COF,0.248,3183.4,1.9,1.282,纤维素膜,36.6,0.659,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,5.0,500,1.002,1503.4,97.5,99.46,0.02
COF-LZU1,MOF/COF,1.295,466.7,7.8,0.338,PVDF-HFP,34.0,0.662,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,50,0.2,300,0.704,1465.2,99.0,93.96,0.0889
碳黑(Super P),碳基,0.528,63.1,41.9,0.232,PVDF,41.5,0.537,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,2.0,500,0.876,945.2,86.7,97.58,0.2008
TiS₂,金属硫化物,0.354,39.4,28.2,0.124,PAN,31.7,0.735,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,1.0,200,1.39,1001.6,97.5,97.15,0.1556
碳黑(Super P),碳基,2.835,65.7,41.1,0.267,尼龙膜,23.9,0.676,砜类(DIPAS) + 1M LiTFSI,45,0.2,100,0.686,716.1,99.0,92.77,0.2023
WO₃,金属氧化物,2.104,44.8,26.3,0.126,Celgard 2500(PE),22.8,0.622,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,0.2,50,1.756,970.5,99.0,99.46,0.02
Mo₂N,氮化物,0.078,47.9,24.9,0.121,Celgard 3501(PP/PE/PP),37.8,0.41,DOL/DME + 2M LiTFSI,45,0.5,200,1.109,883.1,93.5,92.19,0.3528
La₂O₃,金属氧化物,2.964,18.0,41.7,0.084,Celgard 2400(PP),28.4,0.402,TEGDME + 1M LiTFSI,50,1.0,100,0.737,553.1,99.0,93.89,0.02
介孔碳(CMK-3),碳基,0.6,902.2,14.9,1.638,尼龙膜,22.1,0.578,砜类(DIPAS) + 1M LiTFSI,25,0.5,500,0.631,1311.9,91.3,92.78,0.1317
MWCNT,碳基,2.438,221.9,63.1,0.633,Celgard 2500(PE),21.0,0.481,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,3.0,100,0.39,770.4,99.0,95.13,0.0756
V₂O₅,金属氧化物,1.735,43.3,49.1,0.159,Celgard 3501(PP/PE/PP),38.2,0.505,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,5.0,800,0.351,771.9,99.0,95.07,0.02
VN,氮化物,0.136,54.0,25.7,0.213,尼龙膜,20.9,0.638,砜类(DIPAS) + 1M LiTFSI,45,0.2,50,0.736,1005.1,97.7,91.65,0.3574
氮掺杂碳,碳基,1.325,464.2,18.3,0.975,PI(聚酰亚胺),16.5,0.522,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,30,0.2,200,0.48,1474.8,99.0,94.61,0.0293
TiO₂,金属氧化物,0.185,58.3,22.4,0.176,尼龙膜,14.8,0.657,DOL/DME + 0.5M LiTFSI,60,0.2,100,3.04,1013.0,96.0,91.68,0.3753
碳黑(Super P),碳基,1.981,61.0,30.8,0.246,Celgard 2500(PE),28.2,0.489,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,55,0.5,100,1.673,1015.7,99.0,98.64,0.0402
碳黑(Super P),碳基,2.159,56.8,60.5,0.204,Celgard 2400(PP),25.8,0.402,砜类(DIPAS) + 1M LiTFSI,25,0.5,500,0.408,871.8,99.0,95.16,0.1344
V₂O₅,金属氧化物,1.842,42.2,23.9,0.137,PI(聚酰亚胺),17.7,0.484,DOL/DME + 1M LiTFSI,25,1.0,500,1.277,858.9,99.0,95.46,0.02
CoS₂,金属硫化物,2.587,39.2,29.7,0.15,GF/A(玻璃纤维),254.2,0.875,砜类(DIPAS) + 1M LiTFSI,60,1.0,100,1.011,715.1,99.0,95.2,0.02
MWCNT,碳基,1.221,213.5,35.4,0.746,PVDF,33.1,0.575,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,1.0,100,0.38,1211.9,99.0,95.01,0.2175
多孔碳球,碳基,2.845,825.9,22.2,1.045,Whatman GF/D,682.1,0.883,DOL/DME + 0.5M LiTFSI,40,3.0,300,3.297,722.6,99.0,97.03,0.02
石墨烯,碳基,1.968,526.6,7.3,0.805,PAN,11.9,0.729,DOL/DME + 2M LiTFSI,35,1.0,100,1.409,1041.3,99.0,95.15,0.0851
石墨烯,碳基,0.701,359.5,7.4,0.807,Celgard 3501(PP/PE/PP),36.8,0.445,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,50,0.5,200,1.704,1282.3,97.6,97.35,0.1062
CeO₂,金属氧化物,1.486,52.8,15.9,0.224,PVDF-HFP,28.9,0.677,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,0.5,50,1.68,1097.6,99.0,99.07,0.02
Co₃O₄,金属氧化物,1.759,63.8,29.5,0.176,PAN,27.4,0.752,DOL/DME + 0.5M LiTFSI,35,0.1,500,2.028,974.0,99.0,94.6,0.0218
VN,氮化物,1.374,49.7,27.1,0.239,PAN,15.7,0.635,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,0.5,200,0.407,1118.5,99.0,95.67,0.087
WO₃,金属氧化物,0.846,38.3,27.6,0.127,GF/A(玻璃纤维),254.8,0.791,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.2,1000,1.167,1044.9,75.0,96.68,0.137
Fe₂O₃,金属氧化物,0.462,39.4,45.2,0.156,PI(聚酰亚胺),16.7,0.604,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,0.2,50,0.822,1077.1,99.0,97.93,0.1792
WO₃,金属氧化物,2.397,39.0,36.8,0.146,Whatman GF/D,679.1,0.8,DOL/DME + 0.5M LiTFSI,40,2.0,50,2.057,732.4,99.0,96.21,0.0642
SnS₂,金属硫化物,1.242,43.7,28.7,0.142,PVDF,33.5,0.585,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,1.0,300,1.304,951.5,99.0,99.9,0.0557
WO₃,金属氧化物,1.81,26.4,43.3,0.131,Celgard 3501(PP/PE/PP),33.8,0.473,砜类(DIPAS) + 1M LiTFSI,25,2.0,100,0.442,873.8,99.0,95.65,0.02
碳纳米纤维(CNF),碳基,2.448,175.5,129.4,0.534,PVDF,32.8,0.598,DOL/DME + 2M LiTFSI,35,0.5,100,0.975,823.3,99.0,94.24,0.119
PDA(聚多巴胺),聚合物,1.591,23.1,66.2,0.091,尼龙膜,21.7,0.579,砜类(DIPAS) + 1M LiTFSI,40,0.1,500,0.673,881.3,99.0,97.24,0.0368
UiO-66,MOF/COF,1.263,1088.1,2.6,0.491,尼龙膜,29.5,0.605,DOL/DME + 0.5M LiTFSI,60,2.0,100,4.21,1269.1,99.0,92.86,0.02
碳纳米纤维(CNF),碳基,1.445,156.4,123.5,0.462,Whatman GF/D,666.3,0.878,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,55,2.0,800,2.086,1123.9,94.5,99.28,0.0599
TiS₂,金属硫化物,0.429,36.4,28.6,0.091,PI(聚酰亚胺),22.8,0.495,DOL/DME + 0.5M LiTFSI,55,1.0,200,2.267,1123.2,98.6,91.69,0.281
NiS₂,金属硫化物,1.799,34.1,40.1,0.111,PET,17.1,0.493,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,0.1,100,0.733,1084.4,99.0,99.9,0.02
PPy(聚吡咯),聚合物,1.631,39.4,57.3,0.125,纤维素膜,41.2,0.735,DOL/DME + 2M LiTFSI,45,0.2,500,1.43,872.6,99.0,94.04,0.1028
碳纳米纤维(CNF),碳基,2.601,182.8,179.2,0.526,PET,16.0,0.442,DOL/DME + 2M LiTFSI,25,5.0,800,0.693,590.9,98.8,94.23,0.02
CoS₂,金属硫化物,2.762,46.5,30.0,0.141,PI(聚酰亚胺),22.3,0.528,TEGDME + 1M LiTFSI + 0.1M LiNO₃,50,3.0,300,0.893,542.6,99.0,99.9,0.02
CNT,碳基,0.71,262.1,38.8,0.764,GF/A(玻璃纤维),263.5,0.702,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,200,1.279,1093.3,98.8,97.27,0.1039
石墨烯,碳基,0.449,422.5,8.8,0.841,Celgard 2500(PE),27.4,0.553,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.5,100,0.872,1183.2,99.0,96.67,0.1281
MXene(Ti₃C₂),其他,1.319,87.6,11.7,0.325,PET,13.4,0.576,砜类(DIPAS) + 1M LiTFSI,50,0.1,200,0.899,1042.1,99.0,94.57,0.1394
ZnO,金属氧化物,1.244,29.3,63.5,0.085,PVDF-HFP,41.5,0.63,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,35,1.0,100,1.127,982.5,99.0,99.05,0.0786
VS₂,金属硫化物,1.876,56.2,25.2,0.131,PET,20.6,0.431,DOL/DME + 2M LiTFSI,35,0.5,500,0.906,957.2,99.0,96.72,0.02
CoS₂,金属硫化物,2.366,41.0,36.2,0.136,PAN,31.1,0.734,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,1.0,200,0.607,817.1,99.0,94.64,0.02
碳黑(Super P),碳基,1.579,64.1,34.6,0.326,Celgard 2400(PP),25.7,0.392,DOL/DME + 2M LiTFSI,50,0.2,500,1.235,1254.1,94.6,92.45,0.0965
MXene(Ti₃C₂),其他,2.001,90.3,9.1,0.313,PVDF,26.5,0.561,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,40,0.1,500,1.497,974.2,99.0,99.7,0.02
氧化石墨烯(GO),碳基,1.95,359.0,5.0,0.853,PVDF,39.0,0.637,砜类(DIPAS) + 1M LiTFSI,25,5.0,1000,0.629,1001.0,99.0,95.88,0.02
ZnO,金属氧化物,1.858,34.0,47.2,0.126,Whatman GF/D,674.1,0.893,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,45,1.0,50,0.565,938.2,99.0,94.1,0.1042
SiO₂,其他,0.583,196.5,13.9,0.482,PET,22.5,0.586,DOL/DME + 2M LiTFSI,25,0.5,200,0.947,960.6,99.0,93.77,0.2716
SnS₂,金属硫化物,1.792,28.9,38.6,0.165,GF/A(玻璃纤维),263.1,0.816,TEGDME + 1M LiTFSI,35,1.0,1000,0.978,1025.6,94.6,95.97,0.066
氮掺杂碳,碳基,1.99,529.5,12.4,0.958,Celgard 3501(PP/PE/PP),40.9,0.401,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,55,0.5,200,0.694,1153.9,99.0,94.88,0.02
TiN,氮化物,1.137,78.0,20.2,0.207,PVDF-HFP,32.7,0.579,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,50,1.0,200,0.485,1078.7,99.0,94.73,0.117
Co₃O₄,金属氧化物,0.357,76.6,22.4,0.219,Celgard 3501(PP/PE/PP),31.7,0.53,DOL/DME + 0.5M LiTFSI,25,0.1,100,1.732,1055.8,98.7,92.97,0.3191
UiO-66,MOF/COF,0.411,1121.0,3.5,0.502,Celgard 3501(PP/PE/PP),34.1,0.481,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,55,0.5,50,1.806,1471.7,99.0,96.25,0.0505
ZnO,金属氧化物,1.737,29.4,53.5,0.095,Whatman GF/D,664.1,0.824,DOL/DME + 2M LiTFSI,25,5.0,100,1.066,852.2,99.0,95.04,0.11
MIL-101(Cr),MOF/COF,2.133,3083.2,4.1,1.342,尼龙膜,20.0,0.617,TEGDME + 1M LiTFSI,35,1.0,1000,1.989,1326.2,99.0,96.63,0.02
碳纳米纤维(CNF),碳基,2.542,167.1,108.4,0.637,PAN,32.2,0.634,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,45,0.5,100,0.465,855.4,99.0,95.49,0.0671
UiO-66,MOF/COF,2.945,1271.5,2.2,0.574,纤维素膜,28.2,0.703,TEGDME + 1M LiTFSI,55,2.0,50,1.565,656.5,99.0,96.1,0.02
WO₃,金属氧化物,0.389,40.3,36.4,0.133,Celgard 2400(PP),23.2,0.369,DOL/DME + 0.5M LiTFSI,40,0.2,50,1.817,1003.0,99.0,91.64,0.286
石墨烯,碳基,1.659,420.9,6.8,0.827,Celgard 3501(PP/PE/PP),41.9,0.418,DOL/DME + 2M LiTFSI,30,3.0,200,0.974,1114.5,99.0,95.39,0.02
TiN,氮化物,1.703,67.8,29.0,0.173,Whatman GF/D,670.6,0.786,砜类(DIPAS) + 1M LiTFSI,60,0.5,100,0.931,1104.3,99.0,94.23,0.0695
ZIF-67,MOF/COF,0.601,1573.0,3.4,0.615,Celgard 3501(PP/PE/PP),39.7,0.502,DOL/DME + 0.5M LiTFSI,50,0.2,1000,2.573,1600.0,84.7,92.95,0.0393
MnO₂,金属氧化物,0.548,115.5,31.1,0.246,GF/A(玻璃纤维),258.4,0.839,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,0.5,300,1.692,1065.2,94.2,96.69,0.1707
WS₂,金属硫化物,2.991,44.3,25.4,0.129,Celgard 2500(PE),27.8,0.565,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,55,0.5,300,1.362,635.4,99.0,99.47,0.02
HKUST-1,MOF/COF,1.106,1855.6,6.0,0.612,Whatman GF/D,667.5,0.892,砜类(DIPAS) + 1M LiTFSI,25,0.5,100,1.041,1391.3,99.0,95.5,0.02
MoS₂,金属硫化物,2.532,58.0,24.9,0.156,PAN,23.6,0.641,DOL/DME + 1M LiTFSI,50,1.0,500,1.967,736.1,99.0,95.42,0.02
TiN,氮化物,0.148,72.7,16.2,0.222,PAN,25.3,0.639,TEGDME + 1M LiTFSI,25,0.5,500,0.754,936.7,83.7,91.18,0.3295
Al₂O₃,金属氧化物,2.932,117.2,16.2,0.338,Celgard 3501(PP/PE/PP),37.1,0.428,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.2,1000,0.961,582.9,97.4,99.82,0.02
WO₃,金属氧化物,1.621,33.8,45.4,0.123,Whatman GF/D,668.6,0.844,DOL/DME + 2M LiTFSI,55,0.1,500,1.617,1190.7,99.0,94.6,0.1469
MWCNT,碳基,2.638,188.4,33.5,0.771,Whatman GF/D,670.6,0.822,DOL/DME + 0.5M LiTFSI,25,0.5,200,1.488,717.1,99.0,95.69,0.1095
TiN,氮化物,1.576,51.4,19.0,0.244,Celgard 2400(PP),23.2,0.454,DOL/DME + 0.5M LiTFSI,40,1.0,200,1.961,1085.2,99.0,94.58,0.0375
Co₃O₄,金属氧化物,1.184,89.5,27.0,0.224,Whatman GF/D,672.8,0.852,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,45,0.5,300,1.888,1105.1,99.0,98.37,0.0612
V₂O₅,金属氧化物,1.886,24.9,24.9,0.206,纤维素膜,31.5,0.738,DOL/DME + 1M LiTFSI,25,1.0,200,1.346,860.4,99.0,96.17,0.047
Co₃O₄,金属氧化物,2.799,63.0,26.9,0.191,GF/A(玻璃纤维),261.3,0.805,TEGDME + 1M LiTFSI + 0.1M LiNO₃,55,1.0,100,0.84,578.3,99.0,99.45,0.02
SnS₂,金属硫化物,2.029,42.0,29.1,0.151,PET,13.1,0.541,DOL/DME + 0.5M LiTFSI,25,0.5,100,1.546,938.8,99.0,96.33,0.02
石墨烯,碳基,2.266,443.0,7.7,1.006,Whatman GF/D,675.8,0.909,DOL/DME + 0.5M LiTFSI,60,0.2,100,3.029,1190.4,99.0,94.7,0.0411
氧化石墨烯(GO),碳基,2.496,391.4,6.9,0.612,Celgard 2500(PE),24.5,0.59,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,2.0,500,0.659,810.8,99.0,99.9,0.02
Fe₂O₃,金属氧化物,1.791,41.6,29.4,0.199,PAN,15.1,0.682,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,5.0,800,0.665,894.8,97.1,95.69,0.1449
介孔碳(CMK-3),碳基,0.182,967.1,6.9,1.608,PI(聚酰亚胺),17.5,0.507,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,35,1.0,100,1.225,1370.2,99.0,96.06,0.1226
介孔碳(CMK-3),碳基,0.724,952.1,13.0,0.992,Celgard 2500(PE),17.7,0.508,TEGDME + 1M LiTFSI,35,3.0,200,0.912,1256.9,99.0,92.99,0.0793
CeO₂,金属氧化物,2.953,53.5,12.6,0.216,Celgard 2500(PE),14.8,0.559,砜类(DIPAS) + 1M LiTFSI,25,0.5,200,0.41,512.6,99.0,94.96,0.02
介孔碳(CMK-3),碳基,1.06,801.6,13.8,1.133,Celgard 2400(PP),26.2,0.514,TEGDME + 1M LiTFSI,30,0.2,50,0.838,1434.7,99.0,94.44,0.0876
CeO₂,金属氧化物,0.487,68.4,20.7,0.25,PI(聚酰亚胺),27.8,0.52,TEGDME + 1M LiTFSI,40,0.5,300,0.719,1028.4,98.5,92.33,0.2925
TiN,氮化物,0.489,67.8,21.9,0.234,Whatman GF/D,669.7,0.761,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,5.0,50,1.003,851.1,99.0,98.35,0.1779
MnO₂,金属氧化物,2.689,58.6,19.7,0.307,Celgard 2400(PP),33.5,0.405,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,1.0,200,1.592,597.5,99.0,98.97,0.02
CNT,碳基,1.457,287.0,41.6,0.663,PI(聚酰亚胺),22.0,0.501,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,2.0,500,1.102,1130.3,99.0,98.86,0.02
