填料类型,填料类别,填料含量(wt%),比表面积(m²/g),粒径(nm),基底/聚合物,膜厚度(μm),温度(°C),压力(MPa),倍率(C),循环次数,离子电导率(mS/cm),界面阻抗(Ω·cm²),初始比容量(mAh/g),容量保持率(%),库伦效率(%),电化学窗口(V)
Li₃ScCl₆,卤化物,31.0,9.3,530.2,PAN(聚丙烯腈),35.2,30,59.3,0.2,300,0.58011,108.2,634.6,93.6,98.01,3.81
LATP/CNT复合,复合,14.4,120.8,64.0,PVA(聚乙烯醇),28.4,45,218.8,0.5,50,0.00687,43.8,655.7,98.0,97.06,4.47
Li₇P₃S₁₁,硫化物,59.3,6.8,683.5,PEO(聚环氧乙烷),42.9,55,458.2,1.0,100,1.75252,52.8,702.6,98.0,97.12,2.67
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,77.0,18.0,315.8,PPC(聚碳酸亚丙酯),34.6,30,456.2,0.1,200,0.33118,73.3,681.5,98.0,97.26,5.0
Li₆PS₅Br,硫化物,64.7,10.8,562.6,PAN(聚丙烯腈),23.9,60,186.5,0.2,500,1.99565,78.2,895.3,90.9,97.84,2.41
Li₆PS₅Br,硫化物,16.9,7.8,628.0,PPC(聚碳酸亚丙酯),36.3,80,393.0,0.05,100,0.07821,22.7,984.7,98.0,95.75,2.49
LLZO@GO复合,复合,48.3,201.6,51.5,纤维素基,53.7,50,188.4,0.2,500,0.30498,51.8,807.2,96.2,98.13,4.4
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,12.6,16.5,496.1,PEO(聚环氧乙烷),50.5,25,178.4,0.5,300,0.01383,84.0,439.3,95.4,97.97,5.05
Li₃InCl₆,卤化物,19.4,13.2,405.6,PEG(聚乙二醇),39.6,50,379.9,0.5,100,0.08273,45.8,704.1,98.0,97.06,4.15
Li₁₀GeP₂S₁₂(LGPS),硫化物,68.6,6.8,1107.5,PI(聚酰亚胺),35.5,50,297.2,0.2,100,13.88067,77.7,955.1,95.2,98.19,2.38
LLZO-Nb,氧化物,23.4,9.6,516.9,PCL(聚己内酯),54.8,40,463.9,0.1,500,0.0281,51.3,662.3,95.5,98.33,5.2
Li₂S-P₂S₅(75:25),硫化物,32.9,9.7,561.6,PVDF-HFP,28.6,30,257.5,0.5,100,0.36202,51.3,650.2,98.0,97.38,2.56
LATP/CNT复合,复合,50.9,197.6,61.0,PVDF,40.0,80,208.1,0.1,500,0.80455,44.8,1033.7,87.8,95.5,4.74
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,65.7,17.0,219.6,尼龙6,44.7,45,267.9,0.2,200,0.32794,81.3,788.5,94.2,98.24,4.81
LLZO(Li₇La₃Zr₂O₁₂),氧化物,56.8,13.8,524.0,PAN(聚丙烯腈),41.7,50,317.6,0.2,800,0.27801,66.4,805.6,90.8,98.26,5.02
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,48.5,15.3,430.8,PEG(聚乙二醇),41.2,50,96.6,0.05,300,0.3145,117.3,856.2,92.8,96.49,5.16
Li₆PS₅Cl,硫化物,32.4,4.7,940.6,PPC(聚碳酸亚丙酯),24.2,40,454.0,0.2,200,0.73889,45.8,765.3,95.6,96.67,2.68
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,26.3,14.9,349.5,PI(聚酰亚胺),27.9,55,243.9,0.2,500,0.02702,56.1,756.4,97.8,97.49,4.77
LLZO@GO复合,复合,79.6,216.7,46.2,PPC(聚碳酸亚丙酯),25.4,25,425.9,0.5,300,0.38669,42.2,638.2,98.0,97.87,4.45
Li₆PS₅Br,硫化物,24.4,9.5,733.2,PPC(聚碳酸亚丙酯),55.9,25,209.3,0.05,300,0.06155,63.6,678.6,94.1,97.24,2.88
Li₁₀GeP₂S₁₂(LGPS),硫化物,74.5,4.0,949.6,纤维素基,53.8,25,458.8,0.1,200,8.75646,75.1,839.6,90.7,98.05,2.56
Li₁₀GeP₂S₁₂(LGPS),硫化物,23.7,5.5,1019.8,PPC(聚碳酸亚丙酯),30.6,60,482.1,0.2,50,0.73307,38.3,909.1,94.1,98.06,2.71
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,51.4,15.2,435.2,PVDF,36.6,60,391.4,0.2,100,0.43514,56.8,814.1,98.0,97.55,4.95
Li₁₀GeP₂S₁₂(LGPS),硫化物,52.3,6.9,1016.0,尼龙6,37.1,30,132.7,1.0,200,4.78735,110.2,642.4,95.1,96.26,2.38
LATP/CNT复合,复合,57.2,103.2,73.3,PCL(聚己内酯),54.8,80,353.3,0.5,500,0.77906,39.2,960.4,93.6,96.55,4.53
Li₃PS₄,硫化物,23.1,15.9,650.4,PVDF,43.0,70,120.9,0.05,100,0.05318,54.9,904.8,95.1,95.77,2.49
LLZO(Li₇La₃Zr₂O₁₂),氧化物,54.9,16.3,533.6,PEO(聚环氧乙烷),55.6,50,410.9,0.5,100,0.28352,71.3,800.1,98.0,97.82,5.03
Li₆PS₅Cl,硫化物,71.4,8.0,786.9,PVDF,33.6,30,55.7,1.0,200,1.67123,109.9,518.4,90.2,95.4,2.49
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,56.7,19.9,355.8,PEO(聚环氧乙烷),42.1,30,479.5,0.05,50,0.12984,65.9,654.7,98.0,97.2,5.15
Na₃PS₄(参考),硫化物,38.9,20.1,616.6,PVDF,46.3,25,66.2,0.05,800,0.14953,123.9,637.2,82.6,96.28,2.29
Li₃YCl₆,卤化物,15.2,11.6,395.9,PVDF-HFP,23.5,80,55.0,0.1,200,0.04787,54.8,877.9,98.0,96.28,3.97
Li₆PS₅Br,硫化物,73.2,7.5,801.9,PI(聚酰亚胺),18.5,25,387.0,0.5,100,1.24883,60.2,574.5,97.3,96.75,2.37
Li₆PS₅Br,硫化物,74.1,11.6,850.4,纤维素基,43.2,60,113.7,0.1,200,2.73599,120.1,907.2,92.1,95.21,2.55
Li₃PS₄,硫化物,79.4,14.7,592.4,纤维素基,45.7,40,445.0,0.2,300,0.7382,71.1,787.7,94.5,97.94,2.36
Li₆PS₅Br,硫化物,13.4,8.3,767.1,纤维素基,31.2,50,315.4,0.1,800,0.02454,45.4,677.4,85.6,97.43,2.82
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,65.5,23.1,295.9,PI(聚酰亚胺),16.1,30,395.2,0.2,300,0.15388,62.0,617.2,98.0,97.9,4.9
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,55.3,26.1,219.5,PMMA(聚甲基丙烯酸甲酯),52.9,70,223.5,0.1,100,0.24073,54.1,1058.7,98.0,96.55,5.57
Li₂ZrCl₆,卤化物,73.0,15.2,431.4,PVDF,41.9,55,474.9,0.5,100,1.15169,55.5,872.8,98.0,97.8,3.87
Li₆PS₅Br,硫化物,16.4,8.5,882.9,PPC(聚碳酸亚丙酯),42.7,25,135.4,0.5,200,0.02499,66.2,534.5,95.7,97.03,2.44
Li₃PS₄,硫化物,10.5,10.5,542.2,PPC(聚碳酸亚丙酯),42.4,60,80.9,0.5,500,0.01069,49.9,568.6,83.2,95.41,2.6
Li₃PO₄,磷酸盐,30.0,42.4,139.4,PVA(聚乙烯醇),38.7,80,494.6,0.2,100,0.00253,30.0,827.8,98.0,97.88,5.55
Li₁₀GeP₂S₁₂(LGPS),硫化物,45.4,5.3,911.3,PVA(聚乙烯醇),32.0,40,153.3,0.2,100,5.8264,87.0,802.6,97.9,97.28,2.5
Li₃InCl₆,卤化物,62.7,8.4,552.6,PVA(聚乙烯醇),20.4,50,308.2,0.1,100,1.61713,71.3,939.5,98.0,97.21,4.4
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,74.1,18.7,321.6,PEG(聚乙二醇),39.1,55,215.3,0.5,200,0.81237,96.1,774.6,98.0,96.25,5.35
Li₃YCl₆,卤化物,39.4,13.1,230.2,PCL(聚己内酯),72.2,30,160.5,0.5,300,0.28793,61.5,595.8,95.5,97.15,3.85
Li₃PS₄,硫化物,29.4,10.9,689.9,PPC(聚碳酸亚丙酯),29.5,30,306.8,0.1,800,0.03446,46.2,666.6,82.5,96.99,2.13
Li₆PS₅Br,硫化物,31.6,8.4,620.4,PI(聚酰亚胺),26.3,45,346.5,0.2,500,0.54218,52.7,837.1,95.9,97.69,2.41
Na₃PS₄(参考),硫化物,46.3,13.0,563.2,PCL(聚己内酯),52.6,30,228.6,0.2,500,0.16549,76.1,650.5,93.1,97.53,2.7
Li₂S-P₂S₅(75:25),硫化物,50.8,11.8,726.0,纤维素基,52.2,30,229.3,0.1,300,0.79526,83.2,717.1,90.5,96.26,2.36
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,60.7,22.6,332.0,PPC(聚碳酸亚丙酯),32.9,80,145.8,0.5,200,0.67369,65.4,997.3,94.3,95.07,5.06
LATP/CNT复合,复合,19.0,139.2,76.1,尼龙6,45.4,60,440.1,0.1,100,0.0236,21.4,865.8,98.0,96.18,4.67
Li₆PS₅Br,硫化物,34.9,8.3,767.6,PPC(聚碳酸亚丙酯),39.1,25,397.7,0.1,200,0.46612,48.1,643.0,98.0,97.1,2.77
LiPON,磷酸盐,45.0,47.3,104.5,PEO(聚环氧乙烷),61.6,30,423.3,0.5,200,0.0133,56.2,522.1,98.0,97.36,5.26
Li₂B₁₂H₁₂,硼氢化物,64.2,30.0,275.3,PVA(聚乙烯醇),26.3,45,270.7,0.2,100,0.50661,66.3,768.0,98.0,97.66,3.13
Li₆PS₅Br,硫化物,53.7,7.5,913.6,PEG(聚乙二醇),41.4,45,493.9,0.2,200,1.28403,54.1,748.9,98.0,97.56,2.44
Li₃ScCl₆,卤化物,27.1,9.3,598.0,PCL(聚己内酯),42.9,40,214.8,0.05,200,0.26342,59.0,907.0,91.1,97.49,4.33
LLZO-Nb,氧化物,12.1,14.3,418.9,PMMA(聚甲基丙烯酸甲酯),42.9,80,241.1,0.2,200,0.01884,36.8,829.6,98.0,96.05,4.58
LLZO-Nb,氧化物,74.0,16.6,499.1,PVA(聚乙烯醇),27.6,60,435.2,0.05,300,1.10305,61.7,948.5,98.0,96.65,5.33
Li₂ZrCl₆,卤化物,69.2,22.7,350.3,PMMA(聚甲基丙烯酸甲酯),57.5,60,480.1,0.5,100,1.44157,41.3,843.0,98.0,97.64,3.94
LLZO-Nb,氧化物,62.8,12.5,433.4,尼龙6,30.2,60,486.7,0.5,100,0.88913,50.6,867.1,98.0,97.32,4.81
LLZO-Ta,氧化物,29.8,11.3,392.4,PMMA(聚甲基丙烯酸甲酯),30.1,60,91.8,0.1,100,0.10496,59.4,823.4,98.0,96.27,4.88
Li₆PS₅Cl,硫化物,38.5,11.8,822.6,PCL(聚己内酯),66.8,45,336.2,0.2,800,1.38761,54.4,836.4,87.4,96.04,2.58
Na₃PS₄(参考),硫化物,73.8,16.6,552.7,尼龙6,32.3,40,476.9,1.0,50,0.48073,47.7,625.0,98.0,98.13,2.56
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,42.8,20.5,252.7,PPC(聚碳酸亚丙酯),36.4,60,396.2,0.2,500,0.31145,37.5,812.1,83.9,96.81,5.21
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,27.2,11.8,451.7,PVDF-HFP,27.6,25,394.2,0.1,500,0.01773,61.1,564.5,92.8,97.5,4.72
LLZO-Ta,氧化物,13.8,12.4,423.5,PEO(聚环氧乙烷),52.0,25,300.1,0.1,50,0.01239,73.6,535.3,98.0,97.23,5.03
Li₂B₁₂H₁₂,硼氢化物,63.5,27.0,212.8,PVA(聚乙烯醇),35.1,25,111.3,0.1,300,0.24362,86.8,704.4,91.5,96.7,2.78
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,26.8,18.4,403.2,PCL(聚己内酯),57.8,25,460.2,0.1,800,0.01626,54.3,587.1,86.3,98.14,4.79
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,61.6,20.5,322.3,PEG(聚乙二醇),11.4,25,80.4,0.5,200,0.18193,107.8,512.8,89.6,98.04,4.95
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,31.9,18.1,408.3,PEO(聚环氧乙烷),62.6,60,72.9,0.05,300,0.3223,93.1,878.8,93.5,96.56,5.26
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,63.8,24.7,275.5,纤维素基,38.4,70,313.6,0.5,200,0.56852,63.8,858.1,94.9,96.5,5.15
Li₆PS₅Cl,硫化物,57.0,8.5,801.9,纤维素基,40.7,55,486.2,0.5,200,2.76502,48.7,768.7,97.5,97.43,2.46
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,29.0,4.8,730.1,PEG(聚乙二醇),39.6,50,127.3,0.2,300,2.30519,84.8,853.2,93.8,95.49,2.37
Li₆PS₅Br,硫化物,18.7,6.6,705.8,PVA(聚乙烯醇),25.4,80,430.8,0.05,100,0.12026,30.3,1087.2,96.0,96.4,2.48
Li₇P₃S₁₁,硫化物,51.1,7.5,910.1,PMMA(聚甲基丙烯酸甲酯),42.1,60,184.5,0.5,300,2.02471,70.1,832.5,87.6,95.67,2.57
LLZO(Li₇La₃Zr₂O₁₂),氧化物,21.7,13.2,548.8,PEO(聚环氧乙烷),45.0,45,451.9,0.05,500,0.03663,54.7,846.9,98.0,97.76,4.79
Li₆PS₅Cl,硫化物,79.7,10.0,891.6,PVDF-HFP,28.2,70,176.4,0.2,200,5.5498,76.0,1039.0,91.1,95.98,2.15
LLZO(Li₇La₃Zr₂O₁₂),氧化物,58.7,10.2,446.0,PVDF,40.9,60,239.5,0.2,50,0.53497,81.8,809.2,98.0,97.5,5.27
LiBH₄,硼氢化物,18.6,24.7,209.1,尼龙6,49.7,25,240.8,0.1,200,0.01034,47.9,533.4,98.0,96.75,2.89
LiPON,磷酸盐,35.1,48.1,88.9,PI(聚酰亚胺),24.9,40,432.3,0.05,500,0.0008,41.5,619.3,94.1,97.62,5.24
Li₆PS₅Cl,硫化物,77.6,8.0,752.1,PVDF,38.5,80,258.4,1.0,300,6.84994,62.1,1029.4,93.1,95.6,2.51
Li₂ZrCl₆,卤化物,58.2,16.0,367.7,PEO(聚环氧乙烷),45.3,80,384.8,1.0,300,1.78881,48.4,973.7,98.0,96.75,4.04
Li₂B₁₂H₁₂,硼氢化物,29.5,24.1,263.1,PVDF-HFP,16.1,30,402.7,0.2,100,0.03562,39.1,571.5,98.0,98.31,2.84
Li₃PS₄,硫化物,10.9,12.5,601.5,PVDF-HFP,28.1,45,178.6,1.0,200,0.00596,49.5,591.9,91.0,97.06,2.55
Na₃PS₄(参考),硫化物,33.2,10.2,595.8,PVDF,41.8,60,101.7,0.2,200,0.22851,65.5,844.2,97.7,96.16,2.72
Li₁₀GeP₂S₁₂(LGPS),硫化物,60.1,6.7,973.2,PEG(聚乙二醇),38.9,25,145.0,0.5,300,5.82651,120.4,690.5,92.1,95.57,2.42
Li₁₀GeP₂S₁₂(LGPS),硫化物,34.0,4.7,902.7,PEG(聚乙二醇),31.2,30,371.2,0.2,300,2.41638,67.4,696.0,95.6,96.11,2.55
Na₃PS₄(参考),硫化物,35.1,15.7,488.9,PCL(聚己内酯),55.8,60,378.6,0.5,100,0.24083,35.4,739.1,98.0,94.87,2.52
Li₂B₁₂H₁₂,硼氢化物,49.6,18.9,251.9,PVA(聚乙烯醇),32.3,60,351.3,0.5,800,0.39464,33.4,814.3,81.8,95.79,3.29
LLZO-Nb,氧化物,32.0,15.5,428.0,PAN(聚丙烯腈),23.3,60,436.4,0.5,100,0.3464,48.7,746.1,98.0,98.64,5.03
LLZO-Nb,氧化物,57.1,16.7,574.3,PEO(聚环氧乙烷),45.8,50,120.8,0.1,200,0.54703,110.8,867.2,98.0,97.42,5.25
Li₂ZrCl₆,卤化物,63.5,11.2,401.1,纤维素基,45.1,30,246.1,0.5,200,0.39999,80.9,634.4,98.0,97.64,3.92
LLZO-Nb,氧化物,58.7,13.9,433.7,尼龙6,35.0,25,325.7,0.1,300,0.24242,97.8,680.0,98.0,97.43,4.85
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,67.3,18.8,456.1,PVA(聚乙烯醇),22.7,60,214.8,0.05,50,0.78127,73.7,886.8,98.0,97.16,5.18
LLZO/PVDF纳米纤维,复合,41.6,62.7,97.3,PVDF,17.3,40,369.9,1.0,200,0.08332,42.4,650.8,98.0,98.47,4.35
Li₃ScCl₆,卤化物,15.8,10.3,376.2,PAN(聚丙烯腈),23.9,80,135.9,0.2,800,0.14651,52.2,980.9,86.4,95.97,4.01
Li₇P₃S₁₁,硫化物,33.9,7.0,1084.5,PEO(聚环氧乙烷),49.6,25,488.6,1.0,100,0.41252,60.6,546.9,98.0,98.31,2.68
Li₇P₃S₁₁,硫化物,55.9,6.5,859.2,PI(聚酰亚胺),15.4,60,305.2,0.5,500,2.48155,55.8,812.8,87.7,96.36,2.25
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,44.1,26.0,300.4,纤维素基,22.0,60,177.4,0.1,300,0.22984,76.4,840.0,92.2,96.98,4.74
Li₃ScCl₆,卤化物,77.0,11.2,634.3,PCL(聚己内酯),51.3,55,60.6,0.2,200,5.44778,116.9,990.9,98.0,96.77,3.99
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,76.5,9.3,434.4,PPC(聚碳酸亚丙酯),44.3,60,396.4,0.2,100,0.89447,67.8,811.7,98.0,97.91,4.77
Li₆PS₅Cl,硫化物,39.6,9.0,801.8,PVDF,42.8,60,256.7,0.5,800,1.65439,55.8,801.4,82.6,95.93,2.76
LLZO/PVDF纳米纤维,复合,41.8,95.0,91.0,PEG(聚乙二醇),35.9,30,442.9,0.5,800,0.0644,49.1,548.2,87.9,97.97,4.54
Li₃PS₄,硫化物,41.5,12.5,474.5,PVA(聚乙烯醇),25.1,40,264.0,0.5,200,0.29035,47.9,724.1,98.0,97.34,2.16
LLZO-Nb,氧化物,63.0,14.5,424.2,PEG(聚乙二醇),32.0,80,420.2,0.2,100,1.66304,52.2,1005.5,98.0,96.86,5.17
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,31.9,16.4,276.4,PEG(聚乙二醇),35.4,30,437.8,0.5,800,0.08698,57.2,621.1,85.9,97.93,5.3
Li₇P₃S₁₁,硫化物,39.1,5.6,1009.7,PEG(聚乙二醇),22.1,25,273.6,0.05,500,0.64063,91.7,675.7,85.0,97.33,2.41
LLZO(Li₇La₃Zr₂O₁₂),氧化物,39.3,14.9,589.2,PPC(聚碳酸亚丙酯),56.4,25,234.3,1.0,100,0.08408,86.5,516.4,98.0,98.77,5.23
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,60.2,3.0,958.8,PVDF,36.5,30,349.3,1.0,50,12.16831,78.3,677.3,98.0,97.07,2.39
Li₆PS₅Cl,硫化物,59.9,5.7,813.3,PVDF-HFP,20.9,30,475.1,0.5,100,1.87454,52.9,706.2,94.7,97.77,3.15
Li₃InCl₆,卤化物,75.8,11.7,488.2,PCL(聚己内酯),56.6,55,386.5,0.2,200,2.16733,61.6,822.8,93.1,97.51,3.8
Li₂ZrCl₆,卤化物,44.7,17.5,447.6,PAN(聚丙烯腈),32.7,70,61.8,0.1,100,0.8767,68.5,950.5,95.2,95.06,4.21
Li₃InCl₆,卤化物,65.0,11.3,501.9,PEO(聚环氧乙烷),48.4,30,104.8,1.0,200,1.08188,106.3,626.6,96.9,97.22,3.99
Li₂ZrCl₆,卤化物,37.8,17.4,525.2,PVDF-HFP,40.3,30,52.6,0.2,800,0.22269,104.7,655.6,89.0,98.09,3.76
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,41.5,22.4,360.3,PVDF-HFP,25.7,50,241.2,0.1,200,0.22085,73.1,750.3,98.0,97.38,5.15
Li₆PS₅Cl,硫化物,53.6,9.6,744.3,纤维素基,44.4,55,167.2,0.2,50,2.37075,92.8,859.3,98.0,95.96,2.52
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,65.4,17.7,294.3,PCL(聚己内酯),48.8,30,387.0,1.0,800,0.06811,63.6,631.9,89.8,97.45,5.48
LLZO/PVDF纳米纤维,复合,25.7,72.2,104.6,尼龙6,37.7,60,192.7,0.05,100,0.02329,39.1,864.1,95.7,96.94,4.71
Na₃PS₄(参考),硫化物,18.1,13.2,555.8,PVDF-HFP,31.5,45,452.7,0.2,800,0.01057,32.1,593.4,85.5,96.46,2.26
Na₃PS₄(参考),硫化物,72.2,13.1,446.2,PVDF,41.1,50,162.3,0.2,200,0.57316,77.2,794.0,95.4,96.7,2.81
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,13.6,14.6,443.7,PVDF,36.2,40,418.1,1.0,500,0.00532,52.3,541.6,93.0,98.1,5.17
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,35.9,19.6,365.4,PEO(聚环氧乙烷),42.4,60,70.6,0.2,300,0.29316,89.3,855.9,96.8,96.23,5.26
LLZO/PVDF纳米纤维,复合,34.6,94.1,134.9,PEO(聚环氧乙烷),60.7,45,79.5,0.5,300,0.12534,63.1,679.6,96.9,97.98,4.41
Li₃PS₄,硫化物,64.9,7.1,519.2,PMMA(聚甲基丙烯酸甲酯),40.6,30,111.7,1.0,300,0.46115,82.4,570.0,96.3,97.26,2.48
Li₇P₃S₁₁,硫化物,38.3,5.2,1117.5,PCL(聚己内酯),54.9,25,484.9,0.1,100,0.45204,58.1,669.4,98.0,98.28,2.26
Na₃PS₄(参考),硫化物,19.4,12.0,608.0,PEO(聚环氧乙烷),45.7,70,224.7,0.2,800,0.04857,43.7,777.5,80.8,95.54,2.42
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,55.0,15.5,357.3,PPC(聚碳酸亚丙酯),54.0,60,77.2,1.0,100,0.52402,85.8,806.0,98.0,95.61,4.76
Li₃YCl₆,卤化物,10.1,15.0,471.7,PEO(聚环氧乙烷),46.9,30,121.5,0.1,500,0.01543,84.8,605.2,86.1,97.88,3.99
LLZO@GO复合,复合,76.0,158.9,50.7,PEG(聚乙二醇),31.0,60,362.4,0.2,200,1.09521,45.9,914.2,98.0,97.32,4.63
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,66.1,19.8,427.1,PI(聚酰亚胺),31.1,60,195.7,0.5,300,0.73766,76.6,826.8,98.0,96.04,4.71
